Step Name,Job ID,Workspace,State,Run Time,Elapsed Time,Start Time,Submit Time,End Time,Number Restarts,Params
mag-sweep_CX.1000.NUM_PART.100.TEMP.100,--,mag-sweep/CX.1000.NUM_PART.100.TEMP.100,FAILED,0d:00h:00m:01s,0d:00h:00m:01s,2026-02-05 11:44:14,2026-02-05 11:44:14,2026-02-05 11:44:15,0,TEMP:100;CX:1000;NUM_PART:100
mag-sweep_CX.100.NUM_PART.100.TEMP.100,--,mag-sweep/CX.100.NUM_PART.100.TEMP.100,FAILED,0d:00h:00m:02s,0d:00h:00m:02s,2026-02-05 11:44:15,2026-02-05 11:44:15,2026-02-05 11:44:17,0,TEMP:100;CX:100;NUM_PART:100
mag-sweep_CX.1000.NUM_PART.100.TEMP.1000,--,mag-sweep/CX.1000.NUM_PART.100.TEMP.1000,FAILED,0d:00h:00m:02s,0d:00h:00m:02s,2026-02-05 11:44:17,2026-02-05 11:44:17,2026-02-05 11:44:19,0,TEMP:1000;CX:1000;NUM_PART:100
mag-sweep_CX.100.NUM_PART.100.TEMP.1000,--,mag-sweep/CX.100.NUM_PART.100.TEMP.1000,FAILED,0d:00h:00m:01s,0d:00h:00m:01s,2026-02-05 11:44:19,2026-02-05 11:44:19,2026-02-05 11:44:20,0,TEMP:1000;CX:100;NUM_PART:100
mag-sweep_CX.1000.NUM_PART.500000.TEMP.100,--,mag-sweep/CX.1000.NUM_PART.500000.TEMP.100,FAILED,0d:00h:00m:02s,0d:00h:00m:02s,2026-02-05 11:44:20,2026-02-05 11:44:20,2026-02-05 11:44:22,0,TEMP:100;CX:1000;NUM_PART:500000
mag-sweep_CX.100.NUM_PART.500000.TEMP.100,--,mag-sweep/CX.100.NUM_PART.500000.TEMP.100,FAILED,0d:00h:00m:03s,0d:00h:00m:03s,2026-02-05 11:44:22,2026-02-05 11:44:22,2026-02-05 11:44:25,0,TEMP:100;CX:100;NUM_PART:500000
mag-sweep_CX.1000.NUM_PART.500000.TEMP.1000,--,mag-sweep/CX.1000.NUM_PART.500000.TEMP.1000,FAILED,0d:00h:00m:02s,0d:00h:00m:02s,2026-02-05 11:44:25,2026-02-05 11:44:25,2026-02-05 11:44:27,0,TEMP:1000;CX:1000;NUM_PART:500000
mag-sweep_CX.100.NUM_PART.500000.TEMP.1000,--,mag-sweep/CX.100.NUM_PART.500000.TEMP.1000,FAILED,0d:00h:00m:02s,0d:00h:00m:02s,2026-02-05 11:44:27,2026-02-05 11:44:27,2026-02-05 11:44:29,0,TEMP:1000;CX:100;NUM_PART:500000
