Step Name,Job ID,Workspace,State,Run Time,Elapsed Time,Start Time,Submit Time,End Time,Number Restarts,Params
mag-sweep_CX.1000.NUM_PART.100.TEMP.100,2310,mag-sweep/CX.1000.NUM_PART.100.TEMP.100,FINISHED,0d:00h:00m:02s,0d:00h:00m:02s,2026-02-05 11:55:47,2026-02-05 11:55:47,2026-02-05 11:55:49,0,TEMP:100;NUM_PART:100;CX:1000
mag-sweep_CX.100.NUM_PART.100.TEMP.100,2319,mag-sweep/CX.100.NUM_PART.100.TEMP.100,FINISHED,0d:00h:00m:02s,0d:00h:00m:02s,2026-02-05 11:55:49,2026-02-05 11:55:49,2026-02-05 11:55:51,0,TEMP:100;NUM_PART:100;CX:100
mag-sweep_CX.1000.NUM_PART.100.TEMP.1000,2326,mag-sweep/CX.1000.NUM_PART.100.TEMP.1000,FINISHED,0d:00h:00m:02s,0d:00h:00m:02s,2026-02-05 11:55:51,2026-02-05 11:55:51,2026-02-05 11:55:53,0,TEMP:1000;NUM_PART:100;CX:1000
mag-sweep_CX.100.NUM_PART.100.TEMP.1000,2334,mag-sweep/CX.100.NUM_PART.100.TEMP.1000,FINISHED,0d:00h:00m:02s,0d:00h:00m:02s,2026-02-05 11:55:53,2026-02-05 11:55:53,2026-02-05 11:55:55,0,TEMP:1000;NUM_PART:100;CX:100
mag-sweep_CX.1000.NUM_PART.500000.TEMP.100,2341,mag-sweep/CX.1000.NUM_PART.500000.TEMP.100,FINISHED,0d:00h:00m:04s,0d:00h:00m:04s,2026-02-05 11:55:55,2026-02-05 11:55:55,2026-02-05 11:55:59,0,TEMP:100;NUM_PART:500000;CX:1000
mag-sweep_CX.100.NUM_PART.500000.TEMP.100,2348,mag-sweep/CX.100.NUM_PART.500000.TEMP.100,FINISHED,0d:00h:00m:03s,0d:00h:00m:03s,2026-02-05 11:55:59,2026-02-05 11:55:59,2026-02-05 11:56:02,0,TEMP:100;NUM_PART:500000;CX:100
mag-sweep_CX.1000.NUM_PART.500000.TEMP.1000,2357,mag-sweep/CX.1000.NUM_PART.500000.TEMP.1000,FINISHED,0d:00h:00m:03s,0d:00h:00m:03s,2026-02-05 11:56:02,2026-02-05 11:56:02,2026-02-05 11:56:05,0,TEMP:1000;NUM_PART:500000;CX:1000
mag-sweep_CX.100.NUM_PART.500000.TEMP.1000,2367,mag-sweep/CX.100.NUM_PART.500000.TEMP.1000,FINISHED,0d:00h:00m:03s,0d:00h:00m:03s,2026-02-05 11:56:05,2026-02-05 11:56:05,2026-02-05 11:56:08,0,TEMP:1000;NUM_PART:500000;CX:100
