Step Name,Job ID,Workspace,State,Run Time,Elapsed Time,Start Time,Submit Time,End Time,Number Restarts,Params
mag-sweep_CX.1000.NUM_PART.100.TEMP.100,19173,mag-sweep/CX.1000.NUM_PART.100.TEMP.100,FINISHED,0d:00h:00m:01s,0d:00h:00m:01s,2026-02-04 18:43:39,2026-02-04 18:43:39,2026-02-04 18:43:40,0,CX:1000;TEMP:100;NUM_PART:100
mag-sweep_CX.100.NUM_PART.100.TEMP.100,19176,mag-sweep/CX.100.NUM_PART.100.TEMP.100,FINISHED,0d:00h:00m:02s,0d:00h:00m:02s,2026-02-04 18:43:40,2026-02-04 18:43:40,2026-02-04 18:43:42,0,CX:100;TEMP:100;NUM_PART:100
mag-sweep_CX.1000.NUM_PART.100.TEMP.1000,19179,mag-sweep/CX.1000.NUM_PART.100.TEMP.1000,FINISHED,0d:00h:00m:02s,0d:00h:00m:02s,2026-02-04 18:43:42,2026-02-04 18:43:42,2026-02-04 18:43:44,0,CX:1000;TEMP:1000;NUM_PART:100
mag-sweep_CX.100.NUM_PART.100.TEMP.1000,19182,mag-sweep/CX.100.NUM_PART.100.TEMP.1000,FINISHED,0d:00h:00m:02s,0d:00h:00m:02s,2026-02-04 18:43:44,2026-02-04 18:43:44,2026-02-04 18:43:46,0,CX:100;TEMP:1000;NUM_PART:100
mag-sweep_CX.1000.NUM_PART.500000.TEMP.100,19184,mag-sweep/CX.1000.NUM_PART.500000.TEMP.100,FINISHED,0d:00h:00m:03s,0d:00h:00m:03s,2026-02-04 18:43:46,2026-02-04 18:43:46,2026-02-04 18:43:49,0,CX:1000;TEMP:100;NUM_PART:500000
mag-sweep_CX.100.NUM_PART.500000.TEMP.100,19188,mag-sweep/CX.100.NUM_PART.500000.TEMP.100,FINISHED,0d:00h:00m:02s,0d:00h:00m:02s,2026-02-04 18:43:49,2026-02-04 18:43:49,2026-02-04 18:43:51,0,CX:100;TEMP:100;NUM_PART:500000
mag-sweep_CX.1000.NUM_PART.500000.TEMP.1000,19191,mag-sweep/CX.1000.NUM_PART.500000.TEMP.1000,FINISHED,0d:00h:00m:02s,0d:00h:00m:02s,2026-02-04 18:43:51,2026-02-04 18:43:51,2026-02-04 18:43:53,0,CX:1000;TEMP:1000;NUM_PART:500000
mag-sweep_CX.100.NUM_PART.500000.TEMP.1000,19196,mag-sweep/CX.100.NUM_PART.500000.TEMP.1000,FINISHED,0d:00h:00m:03s,0d:00h:00m:03s,2026-02-04 18:43:53,2026-02-04 18:43:53,2026-02-04 18:43:56,0,CX:100;TEMP:1000;NUM_PART:500000
