Step Name,Job ID,Workspace,State,Run Time,Elapsed Time,Start Time,Submit Time,End Time,Number Restarts,Params
mag-sweep_CX.1000.NUM_PART.100.TEMP.100,2120,mag-sweep/CX.1000.NUM_PART.100.TEMP.100,FINISHED,0d:00h:00m:02s,0d:00h:00m:02s,2026-02-05 11:46:03,2026-02-05 11:46:03,2026-02-05 11:46:05,0,TEMP:100;NUM_PART:100;CX:1000
mag-sweep_CX.100.NUM_PART.100.TEMP.100,2133,mag-sweep/CX.100.NUM_PART.100.TEMP.100,FINISHED,0d:00h:00m:03s,0d:00h:00m:03s,2026-02-05 11:46:05,2026-02-05 11:46:05,2026-02-05 11:46:08,0,TEMP:100;NUM_PART:100;CX:100
mag-sweep_CX.1000.NUM_PART.100.TEMP.1000,2146,mag-sweep/CX.1000.NUM_PART.100.TEMP.1000,FINISHED,0d:00h:00m:02s,0d:00h:00m:02s,2026-02-05 11:46:08,2026-02-05 11:46:08,2026-02-05 11:46:10,0,TEMP:1000;NUM_PART:100;CX:1000
mag-sweep_CX.100.NUM_PART.100.TEMP.1000,2157,mag-sweep/CX.100.NUM_PART.100.TEMP.1000,FINISHED,0d:00h:00m:03s,0d:00h:00m:03s,2026-02-05 11:46:10,2026-02-05 11:46:10,2026-02-05 11:46:13,0,TEMP:1000;NUM_PART:100;CX:100
mag-sweep_CX.1000.NUM_PART.500000.TEMP.100,2168,mag-sweep/CX.1000.NUM_PART.500000.TEMP.100,FINISHED,0d:00h:00m:04s,0d:00h:00m:04s,2026-02-05 11:46:13,2026-02-05 11:46:13,2026-02-05 11:46:17,0,TEMP:100;NUM_PART:500000;CX:1000
mag-sweep_CX.100.NUM_PART.500000.TEMP.100,2177,mag-sweep/CX.100.NUM_PART.500000.TEMP.100,FINISHED,0d:00h:00m:03s,0d:00h:00m:03s,2026-02-05 11:46:17,2026-02-05 11:46:17,2026-02-05 11:46:20,0,TEMP:100;NUM_PART:500000;CX:100
mag-sweep_CX.1000.NUM_PART.500000.TEMP.1000,2191,mag-sweep/CX.1000.NUM_PART.500000.TEMP.1000,FINISHED,0d:00h:00m:03s,0d:00h:00m:03s,2026-02-05 11:46:20,2026-02-05 11:46:20,2026-02-05 11:46:23,0,TEMP:1000;NUM_PART:500000;CX:1000
mag-sweep_CX.100.NUM_PART.500000.TEMP.1000,2203,mag-sweep/CX.100.NUM_PART.500000.TEMP.1000,FINISHED,0d:00h:00m:04s,0d:00h:00m:04s,2026-02-05 11:46:23,2026-02-05 11:46:23,2026-02-05 11:46:27,0,TEMP:1000;NUM_PART:500000;CX:100
